N,m,\textbf{1},\textbf{2},\textbf{3},\textbf{4},\textbf{5}
40,2.1,37.9 (5.5),40.9 (5.2),43.4 (4.2),44.8 (4.1),45.9 (3.6)
50,2.1,38.0 (5.5),41.0 (5.2),43.5 (4.2),45.0 (4.1),46.1 (3.6)
10,2.2,31.1 (4.6),33.1 (3.9),34.4 (4.1),35.2 (3.3),35.4 (2.9)
20,2.2,36.8 (5.6),39.3 (5.2),41.6 (4.5),43.0 (4.2),44.0 (3.7)
30,2.2,37.4 (5.5),40.0 (5.2),42.3 (4.4),43.8 (4.2),44.8 (3.7)
40,2.2,37.4 (5.5),40.1 (5.1),42.5 (4.3),43.8 (4.2),44.8 (3.7)
50,2.2,37.5 (5.5),40.3 (5.1),42.6 (4.3),44.0 (4.2),45.0 (3.6)
10,2.3,30.7 (4.5),32.7 (3.9),33.9 (4.0),34.7 (3.3),34.9 (3.0)
20,2.3,36.2 (5.5),38.5 (5.1),40.7 (4.6),42.0 (4.3),43.0 (3.8)
30,2.3,36.8 (5.4),39.2 (5.1),41.4 (4.5),42.8 (4.3),43.7 (3.8)
40,2.3,36.8 (5.4),39.3 (5.1),41.6 (4.4),42.9 (4.3),43.8 (3.7)
50,2.3,36.9 (5.4),39.5 (5.0),41.7 (4.4),43.0 (4.3),44.0 (3.7)
10,2.4,30.4 (4.4),32.4 (3.9),33.5 (3.9),34.2 (3.3),34.4 (3.0)
20,2.4,35.6 (5.4),37.7 (5.0),39.8 (4.7),41.0 (4.4),41.9 (3.8)
30,2.4,36.1 (5.3),38.4 (5.0),40.5 (4.6),41.8 (4.3),42.6 (3.8)
40,2.4,36.1 (5.3),38.5 (5.0),40.6 (4.5),41.8 (4.3),42.7 (3.7)
50,2.4,36.2 (5.3),38.7 (5.0),40.7 (4.5),42.0 (4.4),42.9 (3.7)
10,2.5,30.0 (4.3),32.0 (3.9),33.0 (3.8),33.7 (3.3),33.9 (3.0)
20,2.5,35.0 (5.3),36.9 (4.9),38.9 (4.7),40.0 (4.4),40.9 (3.8)
30,2.5,35.4 (5.2),37.6 (5.0),39.5 (4.6),40.7 (4.4),41.5 (3.8)
40,2.5,35.5 (5.2),37.7 (4.9),39.6 (4.6),40.8 (4.4),41.6 (3.7)
50,2.5,35.5 (5.2),37.8 (4.9),39.7 (4.5),40.9 (4.4),41.8 (3.7)
10,2.6,29.7 (4.3),31.6 (3.9),32.6 (3.8),33.2 (3.3),33.4 (3.1)
20,2.6,34.3 (5.2),36.1 (4.9),38.0 (4.7),39.0 (4.4),39.9 (3.8)
30,2.6,34.7 (5.1),36.8 (4.9),38.5 (4.6),39.6 (4.5),40.5 (3.8)
40,2.6,34.7 (5.1),36.9 (4.8),38.7 (4.6),39.7 (4.5),40.5 (3.7)
50,2.6,34.8 (5.1),37.0 (4.8),38.7 (4.6),39.8 (4.5),40.7 (3.8)
10,2.7,29.4 (4.2),31.3 (3.9),32.2 (3.7),32.8 (3.3),32.9 (3.1)
20,2.7,33.6 (5.0),35.3 (4.8),37.0 (4.6),38.0 (4.5),38.9 (3.8)
30,2.7,34.0 (5.0),35.9 (4.8),37.6 (4.5),38.6 (4.5),39.4 (3.8)
40,2.7,34.0 (4.9),36.0 (4.7),37.7 (4.5),38.7 (4.6),39.5 (3.7)
50,2.7,34.1 (4.9),36.1 (4.7),37.7 (4.5),38.8 (4.5),39.6 (3.8)
10,2.8,29.0 (4.2),30.9 (3.8),31.7 (3.7),32.3 (3.4),32.4 (3.0)
20,2.8,32.9 (4.9),34.5 (4.7),36.1 (4.5),37.0 (4.5),37.9 (3.8)
30,2.8,33.3 (4.8),35.0 (4.7),36.6 (4.5),37.5 (4.6),38.4 (3.8)
40,2.8,33.3 (4.8),35.1 (4.6),36.7 (4.5),37.6 (4.6),38.5 (3.8)
50,2.8,33.3 (4.8),35.2 (4.6),36.7 (4.5),37.7 (4.6),38.6 (3.8)
10,2.9,28.7 (4.1),30.4 (3.8),31.3 (3.6),31.9 (3.3),31.9 (3.0)
20,2.9,32.2 (4.7),33.7 (4.6),35.2 (4.4),36.1 (4.5),36.9 (3.8)
30,2.9,32.5 (4.7),34.2 (4.6),35.6 (4.4),36.5 (4.6),37.4 (3.8)
40,2.9,32.6 (4.7),34.3 (4.5),35.7 (4.4),36.6 (4.6),37.4 (3.8)
50,2.9,32.6 (4.7),34.3 (4.5),35.7 (4.4),36.7 (4.6),37.5 (3.8)
10,3,28.3 (4.1),30.0 (3.8),30.8 (3.6),31.4 (3.3),31.4 (3.0)
20,3,31.5 (4.6),32.9 (4.5),34.3 (4.3),35.2 (4.5),35.9 (3.8)
30,3,31.8 (4.6),33.3 (4.5),34.6 (4.3),35.6 (4.6),36.3 (3.8)
40,3,31.8 (4.6),33.4 (4.5),34.7 (4.3),35.7 (4.6),36.4 (3.8)
50,3,31.9 (4.6),33.5 (4.5),34.8 (4.3),35.7 (4.6),36.5 (3.8)
10,3.1,28.0 (4.1),29.6 (3.7),30.4 (3.6),31.0 (3.3),30.9 (3.0)
20,3.1,30.8 (4.5),32.2 (4.4),33.4 (4.2),34.3 (4.4),34.9 (3.8)
30,3.1,31.1 (4.5),32.5 (4.4),33.7 (4.2),34.7 (4.5),35.3 (3.8)
40,3.1,31.1 (4.4),32.6 (4.4),33.8 (4.2),34.7 (4.5),35.4 (3.8)
50,3.1,31.2 (4.5),32.6 (4.4),33.8 (4.2),34.8 (4.5),35.4 (3.8)
10,3.2,27.7 (4.0),29.2 (3.7),29.9 (3.5),30.5 (3.2),30.4 (3.0)
20,3.2,30.1 (4.4),31.4 (4.4),32.6 (4.1),33.4 (4.3),34.0 (3.7)
30,3.2,30.4 (4.4),31.7 (4.4),32.9 (4.1),33.8 (4.4),34.3 (3.8)
40,3.2,30.4 (4.4),31.8 (4.4),33.0 (4.1),33.8 (4.5),34.4 (3.8)
50,3.2,30.5 (4.4),31.8 (4.4),33.0 (4.1),33.9 (4.5),34.4 (3.8)
10,3.3,27.3 (4.0),28.8 (3.7),29.4 (3.5),30.0 (3.2),29.9 (3.0)
20,3.3,29.4 (4.3),30.8 (4.3),31.9 (4.1),32.6 (4.2),33.1 (3.7)
30,3.3,29.7 (4.3),31.0 (4.3),32.1 (4.1),32.9 (4.3),33.4 (3.8)
40,3.3,29.7 (4.3),31.1 (4.3),32.2 (4.1),32.9 (4.3),33.5 (3.8)
50,3.3,29.7 (4.3),31.1 (4.3),32.2 (4.1),33.0 (4.4),33.5 (3.8)
10,3.4,27.0 (3.9),28.4 (3.6),29.0 (3.4),29.5 (3.2),29.4 (2.9)
20,3.4,28.8 (4.2),30.1 (4.2),31.1 (4.0),31.8 (4.1),32.3 (3.7)
30,3.4,29.0 (4.2),30.3 (4.2),31.4 (4.0),32.1 (4.2),32.6 (3.7)
40,3.4,29.0 (4.2),30.4 (4.2),31.4 (4.0),32.1 (4.2),32.6 (3.7)
50,3.4,29.1 (4.2),30.4 (4.2),31.4 (4.0),32.1 (4.2),32.6 (3.7)
10,3.5,26.6 (3.9),28.0 (3.6),28.5 (3.4),29.1 (3.1),29.0 (2.9)
20,3.5,28.2 (4.1),29.5 (4.1),30.5 (4.0),31.1 (4.0),31.5 (3.7)
30,3.5,28.3 (4.1),29.7 (4.1),30.7 (3.9),31.3 (4.1),31.7 (3.7)
40,3.5,28.4 (4.1),29.7 (4.1),30.7 (3.9),31.4 (4.1),31.8 (3.7)
