N,m,\textbf{1},\textbf{2},\textbf{3},\textbf{4},\textbf{5}
40,1.4,59.5 (4.5),63.9 (3.8),67.3 (2.8),68.0 (2.4),69.3 (2.5)
50,1.4,59.5 (4.4),63.9 (3.7),67.3 (2.7),68.0 (2.4),69.4 (2.5)
10,1.5,57.5 (5.0),60.3 (3.8),62.9 (3.3),63.3 (2.7),64.1 (3.0)
20,1.5,59.2 (4.7),62.6 (3.9),65.7 (3.1),66.3 (2.3),67.2 (2.7)
30,1.5,59.2 (4.5),63.1 (3.8),66.1 (3.0),66.8 (2.4),68.1 (2.6)
40,1.5,59.2 (4.5),63.2 (3.8),66.3 (2.9),67.1 (2.4),68.3 (2.6)
50,1.5,59.1 (4.4),63.2 (3.7),66.4 (2.8),67.1 (2.4),68.3 (2.6)
10,1.6,56.7 (4.9),59.4 (3.8),61.9 (3.2),62.4 (2.6),63.1 (2.9)
20,1.6,58.5 (4.7),61.7 (3.9),64.6 (3.1),65.2 (2.3),66.1 (2.7)
30,1.6,58.7 (4.5),62.2 (3.8),65.0 (3.0),65.8 (2.4),66.9 (2.6)
40,1.6,58.6 (4.4),62.3 (3.8),65.3 (3.0),66.0 (2.4),67.1 (2.6)
50,1.6,58.6 (4.4),62.3 (3.7),65.3 (2.9),66.0 (2.4),67.2 (2.6)
10,1.7,55.7 (4.8),58.5 (3.9),60.9 (3.2),61.5 (2.6),62.2 (2.9)
20,1.7,57.7 (4.8),60.7 (3.9),63.5 (3.2),64.1 (2.4),64.9 (2.7)
30,1.7,57.9 (4.5),61.2 (3.8),63.8 (3.0),64.7 (2.3),65.7 (2.6)
40,1.7,57.9 (4.4),61.3 (3.8),64.1 (3.1),64.9 (2.3),66.0 (2.6)
50,1.7,57.9 (4.4),61.4 (3.8),64.2 (3.0),65.0 (2.4),66.0 (2.6)
10,1.8,54.7 (4.8),57.6 (3.9),59.8 (3.3),60.6 (2.6),61.3 (2.9)
20,1.8,56.7 (4.7),59.6 (3.9),62.2 (3.2),63.0 (2.4),63.8 (2.8)
30,1.8,56.9 (4.4),60.1 (3.9),62.6 (3.1),63.5 (2.3),64.5 (2.7)
40,1.8,57.0 (4.3),60.3 (3.9),62.8 (3.1),63.8 (2.3),64.8 (2.7)
50,1.8,57.0 (4.3),60.4 (3.8),62.9 (3.1),63.8 (2.3),64.9 (2.6)
10,1.9,53.7 (4.8),56.5 (4.1),58.7 (3.4),59.5 (2.6),60.3 (2.9)
20,1.9,55.5 (4.6),58.5 (4.0),60.9 (3.3),61.8 (2.4),62.6 (2.9)
30,1.9,55.8 (4.3),59.0 (4.0),61.2 (3.2),62.3 (2.3),63.2 (2.8)
40,1.9,55.9 (4.2),59.2 (3.9),61.5 (3.2),62.5 (2.3),63.5 (2.7)
50,1.9,55.9 (4.2),59.3 (3.9),61.5 (3.2),62.6 (2.3),63.6 (2.7)
10,2,52.5 (4.8),55.3 (4.2),57.4 (3.5),58.3 (2.6),59.1 (3.0)
20,2,54.2 (4.6),57.2 (4.1),59.4 (3.5),60.5 (2.4),61.2 (3.0)
30,2,54.6 (4.3),57.6 (4.1),59.7 (3.3),60.9 (2.3),61.7 (2.9)
40,2,54.7 (4.3),57.9 (4.0),59.9 (3.3),61.2 (2.3),62.0 (2.9)
50,2,54.7 (4.2),58.0 (4.0),60.0 (3.3),61.2 (2.4),62.1 (2.9)
10,2.1,51.2 (4.9),54.0 (4.3),56.0 (3.6),57.0 (2.8),57.8 (2.9)
20,2.1,52.9 (4.7),55.8 (4.2),57.9 (3.6),59.0 (2.6),59.7 (3.1)
30,2.1,53.2 (4.4),56.2 (4.2),58.1 (3.5),59.4 (2.5),60.1 (3.0)
40,2.1,53.4 (4.4),56.4 (4.1),58.3 (3.4),59.6 (2.5),60.4 (3.0)
50,2.1,53.4 (4.3),56.5 (4.1),58.4 (3.4),59.7 (2.5),60.5 (3.0)
10,2.2,49.9 (5.0),52.7 (4.4),54.6 (3.6),55.6 (2.9),56.4 (2.9)
20,2.2,51.4 (4.8),54.3 (4.3),56.3 (3.6),57.5 (2.8),58.1 (3.0)
30,2.2,51.8 (4.6),54.6 (4.2),56.5 (3.6),57.8 (2.8),58.5 (3.0)
40,2.2,51.9 (4.6),54.8 (4.2),56.7 (3.5),58.0 (2.7),58.7 (3.0)
50,2.2,51.9 (4.5),54.9 (4.2),56.8 (3.5),58.0 (2.7),58.9 (3.0)
10,2.3,48.5 (5.1),51.4 (4.6),53.1 (3.6),54.2 (3.1),55.1 (2.9)
20,2.3,49.9 (5.0),52.8 (4.5),54.7 (3.7),55.9 (3.1),56.5 (3.0)
30,2.3,50.3 (4.9),53.0 (4.4),54.9 (3.7),56.1 (3.0),56.9 (3.0)
40,2.3,50.4 (4.8),53.2 (4.4),55.0 (3.6),56.3 (2.9),57.1 (3.0)
50,2.3,50.4 (4.8),53.2 (4.4),55.0 (3.6),56.4 (2.9),57.2 (3.0)
10,2.4,47.1 (5.2),49.9 (4.8),51.6 (3.8),52.7 (3.4),53.5 (2.9)
